id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,color,size,age_group,material,pattern,shipping,shipping_weight,gtin,video[0].url,video[0].tag[0],style[0]
503405,MAC MINI LEMON,MAC MINI LEMON from Macarons category,in stock,new,13.00 AED,https://yourwebsite.com/menu/503405,http://43.205.113.48/iposapi/images/Cat72.png,Restaurant,100,,,,,all ages,,,,,503405,,,
503409,MAC MINI MARIA ANTOINETTE,MAC MINI MARIA ANTOINETTE from Macarons category,in stock,new,13.00 AED,https://yourwebsite.com/menu/503409,http://43.205.113.48/iposapi/images/Cat72.png,Restaurant,100,,,,,all ages,,,,,503409,,,
503407,MAC MINI ORANGE BLOSSOM,MAC MINI ORANGE BLOSSOM from Macarons category,in stock,new,13.00 AED,https://yourwebsite.com/menu/503407,http://43.205.113.48/iposapi/images/Cat72.png,Restaurant,100,,,,,all ages,,,,,503407,,,
503408,MAC MINI PISTACHIO,MAC MINI PISTACHIO from Macarons category,in stock,new,13.00 AED,https://yourwebsite.com/menu/503408,http://43.205.113.48/iposapi/images/Cat72.png,Restaurant,100,,,,,all ages,,,,,503408,,,
503415,MAC MINI RASPBERRY,MAC MINI RASPBERRY from Macarons category,in stock,new,13.00 AED,https://yourwebsite.com/menu/503415,http://43.205.113.48/iposapi/images/Cat72.png,Restaurant,100,,,,,all ages,,,,,503415,,,
503404,MAC MINI ROSE PETAL,MAC MINI ROSE PETAL from Macarons category,in stock,new,13.00 AED,https://yourwebsite.com/menu/503404,http://43.205.113.48/iposapi/images/Cat72.png,Restaurant,100,,,,,all ages,,,,,503404,,,
503422,Macaron Pop corn,Macaron Pop corn from Macarons category,in stock,new,13.00 AED,https://yourwebsite.com/menu/503422,http://43.205.113.48/iposapi/images/Cat72.png,Restaurant,100,,,,,all ages,,,,,503422,,,
70001,Printed Mac,Printed Mac from Macarons category,in stock,new,3.00 AED,https://yourwebsite.com/menu/70001,http://43.205.113.48/iposapi/images/Cat72.png,Restaurant,100,,,,,all ages,,,,,70001,,,
503424,Vegan Cherry Mac mini,Vegan Cherry Mac mini from Macarons category,in stock,new,13.00 AED,https://yourwebsite.com/menu/503424,http://43.205.113.48/iposapi/images/Cat72.png,Restaurant,100,,,,,all ages,,,,,503424,,,
200012,CARAMEL SOFT JAM 230,CARAMEL SOFT JAM 230 from Honey & Jams category,in stock,new,39.00 AED,https://yourwebsite.com/menu/200012,http://43.205.113.48/iposapi/images/Cat92.png,Restaurant,100,,,,,all ages,,,,,200012,,,
